CL_FISCAL,Nome,UNIDADE,Estoque,Preco,VAL_TOTAL
30049024,0153072-A.A.S INF C/30 COMP,UN,6,2246.0,13476.0
30049024,0230158-A.A.S PROTECT 100MG C/30 COMP,UN,2,1902.0,3804.0
30039079,0257701-ABC SPRAY 30ML,UN,3,2315.0,6945.0
30049042,0125250-ABLOK 25MG C/30 COMP,UN,2,291.0,582.0
30049042,0121299-ABLOK 50MG C/30 COMP,UN,2,3120.0,6240.0
30049042,0155823-ABLOK PLUS 100/25MG C/30 COMP,UN,1,5938.0,5938.0
"30049042,""0262151-ABLOK PLUS 25/12,5 C/30 COMP"",UN,2,1970.0,3940.0"
"30049042,""0121324-ABLOK PLUS 50/12,5MG C/30 COMP"",UN,1,3642.0,3642.0"
30049099,0176360-ABRILAR XPE 100ML,UN,3,3733.0,11199.0
30049099,0320988-ABRILAR XPE 200ML,UN,2,8558.0,17116.0
30049099,0504400-ABRILAR XPE 200ML MENTOL,UN,1,6819.0,6819.0
30049099,0568163-ABRILIFT 7MG/ML SOL 100ML,UN,2,871.0,1742.0
38221920,0213182-ACCU-CHEK ACTIVE C/50 TIRAS,UN,5,6300.0,31500.0
90278999,0521351-ACCU-CHEK ACTIVE KIT APAR+50 FITAS,UN,2,11869.0,23738.0
38221920,0457677-ACCU-CHEK GUIDE C/50 TIRAS,UN,4,6247.0,24988.0
38220090,0238572-ACCU-CHEK PERFORMA C/50 TIRAS,UN,1,9007.0,9007.0
90183999,0220420-ACCU-CHEK SOFT CLIX C/25 LANCETAS,UN,1,1719.0,1719.0
30039049,0550512-ACEBROFILINA CIMED INF 25MG/5ML 120ML,UN,1,699.0,699.0
30049039,0299811-ACEBROFILINA EURO ADU 50MG/5ML 120ML,UN,5,926.0,4630.0
30049039,0326626-ACEBROFILINA EURO PED 25MG/5ML 120ML,UN,8,885.0,7080.0
30049039,0383438-ACECLOFENACO NOVAQ 100MG C/12COMP,UN,5,1016.0,5080.0
"30049069,""0515598-ACERTALIX 10+2,5MG C/30 COMP"",UN,1,9612.0,9612.0"
"30049069,""0475052-ACERTALIX 5+1,25MG C/30 COMP"",UN,2,7166.0,14332.0"
30049069,0440509-ACERTANLO 14MG+10MG C/30CP,UN,1,12363.0,12363.0
"30049069,""0441506-ACERTANLO 3,5MG+2,5MG C/30CP"",UN,2,5305.0,10610.0"
"30049069,""0451710-ACERTANLO 7,5MG C/30CP"",UN,2,7222.0,14444.0"
30039079,0375962-ACERTIL 10MG C/30 COMP,UN,2,8516.0,17032.0
30039079,0434598-ACERTIL 5MG C/30 COMP,UN,1,6384.0,6384.0
30043999,0389259-ACET DEXAMETASONA EMS CREME 10G,UN,6,460.0,2760.0
30043290,0345060-ACET HIDROCORTISONA EMS 1% POM 30G,UN,2,2202.0,4404.0
30049059,0274042-ACETILCISTEINA EMS 600MG C/16 ENV,UN,8,1826.0,14608.0
30049059,0425673-ACETILCISTEINA EMS ADU 40MG/ML 120ML,UN,4,954.0,3816.0
30049059,0447999-ACETILCISTEINA EMS INF 20MG/ML 120ML,UN,6,1259.0,7554.0
30049059,0276695-ACETILCISTEINA EURO 200MG C/16 ENV,UN,3,1703.0,5109.0
30049039,0276707-ACETILCISTEINA EURO 600MG C/16 ENV,UN,20,2560.0,51200.0
30049059,0477864-ACETILCISTEINA EURO ADU 40MG/ML 120ML,UN,4,1662.0,6648.0
30049059,0516497-ACETILCISTEINA EURO INF 20MG/ML 120 M,UN,4,1043.0,4172.0
33043000,0234512-ACETONA MUSA 200ML,UN,21,639.0,13419.0
21069030,0478665-ACEVITON 1G EFERV C/3X10 COMP,UN,5,1295.0,6475.0
21069030,0542583-ACEVITON TRIPLA EFERV C/10COMP,UN,2,461.0,922.0
21069030,0480626-ACEVITON ZINCO EFERV C/10COMP,UN,2,429.0,858.0
21069030,0477338-ACEVITON ZINCO EFERV C/3X10 COMP,UN,6,1249.0,7494.0
30049099,0199046-ACHEFLAN CREME 30G,UN,2,5431.0,10862.0
30049099,0301908-ACHEFLAN CREME 60G,UN,2,8893.0,17786.0
30049069,0464817-ACICLOVIR EURO 200MG C/25 COMP,UN,11,2024.0,22264.0
